hour,nl_node_1,nl_node_2,nl_node_3
749,0.57219,0.46961,0.41932
750,0.59122,0.48523,0.43327
751,0.61019,0.50079,0.44717
752,0.61019,0.50079,0.44717
753,0.58952,0.48383,0.43203
754,0.56879,0.46681,0.41683
755,0.56879,0.46681,0.41683
756,0.60264,0.49460,0.44164
757,0.63623,0.52217,0.46626
758,0.63623,0.52217,0.46626
759,0.55702,0.45715,0.40820
760,0.47733,0.39175,0.34980
761,0.47733,0.39175,0.34980
762,0.31201,0.25607,0.22865
763,0.16795,0.13784,0.12308
764,0.16795,0.13784,0.12308
765,0.22190,0.18212,0.16262
766,0.28077,0.23044,0.20576
767,0.28077,0.23044,0.20576
768,0.40418,0.33171,0.29620
769,0.53477,0.43890,0.39190
770,0.53477,0.43890,0.39190
771,0.73252,0.60119,0.53682
772,0.90389,0.74184,0.66241
773,0.90389,0.74184,0.66241
774,0.99283,0.81484,0.72759
775,1.04834,0.86039,0.76826
776,1.04834,0.86039,0.76826
777,1.06011,0.87005,0.77689
778,1.06264,0.87213,0.77875
779,1.06264,0.87213,0.77875
780,1.04666,0.85901,0.76703
781,0.99361,0.81548,0.72816
782,0.99361,0.81548,0.72816
783,0.92969,0.76302,0.68131
784,0.85047,0.69799,0.62325
785,0.85047,0.69799,0.62325
786,0.80706,0.66237,0.59144
787,0.76126,0.62478,0.55788
788,0.76126,0.62478,0.55788
789,0.68882,0.56533,0.50479
790,0.61340,0.50343,0.44953
791,0.61340,0.50343,0.44953
792,0.54282,0.44550,0.39780
793,0.47209,0.38745,0.34596
794,0.47209,0.38745,0.34596
795,0.44905,0.36855,0.32908
796,0.42616,0.34976,0.31231
797,0.42616,0.34976,0.31231
798,0.47738,0.39180,0.34984
799,0.52908,0.43423,0.38773
800,0.52908,0.43423,0.38773
801,0.53486,0.43897,0.39197
802,0.54064,0.44372,0.39620
803,0.54064,0.44372,0.39620
804,0.50848,0.41732,0.37263
805,0.47640,0.39099,0.34912
806,0.47640,0.39099,0.34912
807,0.31434,0.25798,0.23036
808,0.17246,0.14154,0.12638
809,0.17246,0.14154,0.12638
810,0.14996,0.12307,0.10989
811,0.12871,0.10564,0.09433
